id,scientificName,scientificNameAuthorship,specificEpithet,genus,family,order,class,phylum,kingdom,recordedBy,eventDate,verbatimEventDate,locality,stateProvince,country,higherGeography
MCZ:Mala:184232,Placopecten magellanicus,"Gmelin, 1791",magellanicus,Placopecten,Pectinidae,Pectinoida,Bivalvia,Mollusca,Animalia,[no agent data],5/27/50,27-May-50,"Chebeaque Island, west side, Eastern Point",Maine,United States,"North America, United States, Maine"
MCZ:Mala:223575,Placopecten magellanicus,"(Gmelin, 1791)",magellanicus,Placopecten,Pectinidae,Pectinoida,Bivalvia,Mollusca,Animalia,Arethussa,1880-01-01/1880-12-31,1880,W. Penobscot Bay,Maine,United States,"North America, United States, Maine"
MCZ:Mala:247327,magellanicus placopecten,"(Gmelin, 1791)",magellanicus,Placopecten,Pectinidae,Pectinoida,Bivalvia,Mollusca,Animalia,K. Read,1963-09-01/1963-09-30,Sep-63,"Salt Pond, Bluehill",Maine,United States,"North America, United States, Maine"
MCZ:Mala:98960,Placopecten magellanicus,,magellanicus,Placopecten,Pectinidae,Pectinoida,Bivalvia,Mollusca,Animalia,E. Sidney Marks,1931-09-01/1931-09-30,Sep-31,Sandy Hook,New Jersey,United States,"North America, United States, New Jersey"
MCZ:Mala:139031,Placopecten magellanicus,"(Gmelin, 1791)",magellanicus,Placopecten,Pectinidae,Pectinoida,Bivalvia,Mollusca,Animalia,USCSS Blake Expeditions,1880-01-01/1880-12-31,1880,off Long Island,New York,United States,"North America, United States, New York"
MCZ:Mala:249963,,"(Gmelin, 1791)",magellanicus,Placopecten,Pectinidae,Pectinoida,Bivalvia,Mollusca,Animalia,Mr. Francis N. Balch,1904-06-01/1904-06-30,4-Jun,"Prince Edward Islands, Pleasant River",,Canada,"North America, Canada"
MCZ:Mala:223592,Placopcten magellanicus,Gmellin,magellanicus,Placopecten,Pectinidae,Pectinoida,Bivalvia,Mollusca,Animalia,J. A. Cushman,,[date unknown],Vineyard Sound,Massachusetts,United States,"North America, United States, Massachusetts"
MCZ:Mala:87168,Placopecten magellanicus,"(Gmelin, 1791)",magellanicus,Placopecten,Pectinidae,Pectinoida,Bivalvia,Mollusca,Animalia,[no agent data],,[date unknown],Fisher's Island,New York,United States,"North America, United States, New York"
MCZ:Mala:74068,Nodipecten nodsus,"(Linnaeus, 1758)",nodosus,Nodipecten,Pectinidae,Pectinoida,Bivalvia,Mollusca,Animalia,[no agent data],,[date unknown],St. Thomas,,West Indies,West Indies
MCZ:Mala:74068,Pecten nodosus,"(Linnaeus, 1758)",nodosus,Nodipecten,Pectinidae,Pectinoida,Bivalvia,Mollusca,Animalia,[no agent data],,[date unknown],St. Thomas,,West Indies,West Indies
