annotation_id,source_id,line_number,tag,keyword,value
1,1,11,begin,@begin,clean_name_and_date_workflow
2,1,12,in,@in,input1_data
3,1,12,uri,@uri,file:demo_input.csv
4,1,13,param,@param,local_authority_source
5,1,13,uri,@uri,file:demo_localDB.csv
6,1,14,out,@out,name_val_log
7,1,14,uri,@uri,file:name_val_log.txt
8,1,15,out,@out,output2_data
9,1,15,uri,@uri,file:demo_output_name_date_val.csv
10,1,16,out,@out,date_val_log
11,1,16,uri,@uri,file:date_val_log.txt
12,1,20,begin,@begin,validate_scientificName_field_of_data
13,1,21,param,@param,local_authority_source
14,1,21,uri,@uri,file:demo_localDB.csv
15,1,22,in,@in,input1_data
16,1,22,uri,@uri,file:demo_input.csv
17,1,23,out,@out,output1_data
18,1,23,uri,@uri,file:demo_output_name_val.csv
19,1,24,out,@out,name_val_log
20,1,24,uri,@uri,file:name_val_log.txt
21,1,25,out,@out,record_id_data
22,1,25,uri,@uri,file:record_id.txt
23,1,45,begin,@begin,initialize_run
24,1,46,out,@out,name_val_log
25,1,46,uri,@uri,file:name_val_log.txt
26,1,47,log,@log,{timestamp} Reading input records from {input1_data_file_name}
27,1,53,end,@end,initialize_run
28,1,57,begin,@begin,read_scientificName
29,1,58,param,@param,local_authority_source
30,1,58,uri,@uri,file:demo_localDB.csv
31,1,59,call,@call,fieldmatch
32,1,60,out,@out,local_authority_source_scientificName_lst
33,1,90,end,@end,read_scientificName
34,1,94,begin,@begin,read_input1_data_records
35,1,95,in,@in,input1_data
36,1,95,uri,@uri,file:demo_input.csv
37,1,96,out,@out,original_scientificName
38,1,96,as,@as,scientificName
39,1,97,out,@out,original_authorship
40,1,97,as,@as,authorship
41,1,98,out,@out,RecordID
42,1,99,out,@out,original_others
43,1,99,as,@as,others
44,1,100,out,@out,record_id_data
45,1,100,uri,@uri,file:record_id.txt
46,1,101,out,@out,name_val_log
47,1,101,uri,@uri,file:name_val_log.txt
48,1,102,log,@log,{timestamp} Reading input record {RecordID}
49,1,135,end,@end,read_input1_data_records
50,1,139,begin,@begin,check_empty_value
51,1,140,in,@in,original_scientificName
52,1,140,as,@as,scientificName
53,1,141,out,@out,check_result
54,1,142,out,@out,original_scientificName
55,1,142,as,@as,empty_scientificName
56,1,143,out,@out,original_scientificName
57,1,143,as,@as,nonEmpty_scientificName
58,1,144,out,@out,name_val_log
59,1,144,uri,@uri,file:name_val_log.txt
60,1,145,log,@log,{timestamp} Trying {check_type} {source_used} {match_method} match for validating {field_name}: {field_name_value}
61,1,146,log,@log,{timestamp} Checking if {field_name} value is Empty: {check_result}
62,1,163,end,@end,check_empty_value
63,1,167,begin,@begin,log_rejected_record
64,1,168,param,@param,RecordID
65,1,169,in,@in,original_scientificName
66,1,169,as,@as,empty_scientificName
67,1,170,in,@in,check_result
68,1,171,out,@out,final_result
69,1,172,out,@out,rejected_record_count
70,1,173,out,@out,name_val_log
71,1,173,uri,@uri,file:name_val_log.txt
72,1,174,log,@log,{timestamp} {final_result} record {RecordID}
73,1,187,end,@end,log_rejected_record
74,1,193,begin,@begin,find_matching_local_authority_source_record
75,1,194,in,@in,original_scientificName
76,1,194,as,@as,nonEmpty_scientificName
77,1,195,param,@param,local_authority_source_scientificName_lst
78,1,196,call,@call,exactmatch
79,1,197,call,@call,fieldmatch
80,1,198,out,@out,match_result
81,1,199,out,@out,matching_local_authority_source_record
82,1,199,as,@as,exactMatching_local_authority_source_record
83,1,200,out,@out,matching_local_authority_source_record
84,1,200,as,@as,fuzzyMatching_local_authority_source_record
85,1,201,out,@out,matching_local_authority_source_record
86,1,201,as,@as,nonMatching_local_authority_source_record
87,1,202,out,@out,final_result
88,1,203,out,@out,matching_method
89,1,204,out,@out,name_val_log
90,1,204,uri,@uri,file:name_val_log.txt
91,1,205,log,@log,{timestamp} Trying {check_type} {source_used} {match_method} match for validating {field_name}: {field_name_value}
92,1,206,log,@log,"{timestamp} {match_method} match was {match_result}, compliant with {source_used}: {compliant_result}."
93,1,232,end,@end,find_matching_local_authority_source_record
94,1,238,begin,@begin,log_rejected_unmatching_record
95,1,239,param,@param,RecordID
96,1,240,in,@in,original_scientificName
97,1,240,as,@as,nonEmpty_scientificName
98,1,241,in,@in,matching_local_authority_source_record
99,1,241,as,@as,nonMatching_local_authority_source_record
100,1,242,out,@out,rejected_record_count
101,1,243,out,@out,name_val_log
102,1,243,uri,@uri,file:name_val_log.txt
103,1,244,log,@log,{timestamp} {final_result} record {RecordID}
104,1,257,end,@end,log_rejected_unmatching_record
105,1,262,begin,@begin,update_scientificName
106,1,263,in,@in,original_scientificName
107,1,263,as,@as,nonEmpty_scientificName
108,1,264,param,@param,matching_local_authority_source_record
109,1,264,as,@as,fuzzyMatching_local_authority_source_record
110,1,265,out,@out,updated_scientificName
111,1,273,end,@end,update_scientificName
112,1,278,begin,@begin,update_authorship
113,1,279,param,@param,matching_local_authority_source_record
114,1,279,as,@as,fuzzyMatching_local_authority_source_record
115,1,280,in,@in,original_authorship
116,1,280,as,@as,authorship
117,1,281,out,@out,updated_authorship
118,1,291,end,@end,update_authorship
119,1,297,begin,@begin,log_updated_record
120,1,298,in,@in,updated_scientificName
121,1,299,in,@in,updated_authorship
122,1,300,in,@in,original_authorship
123,1,300,as,@as,authorship
124,1,301,in,@in,original_scientificName
125,1,301,as,@as,nonEmpty_scientificName
126,1,302,out,@out,name_val_log
127,1,302,uri,@uri,file:name_val_log.txt
128,1,303,log,@log,{timestamp} UPDATING {field_name} from {original_value} to {updated_value}
129,1,321,end,@end,log_updated_record
130,1,325,begin,@begin,log_accepted_record
131,1,326,param,@param,RecordID
132,1,327,in,@in,final_result
133,1,328,param,@param,original_scientificName
134,1,328,as,@as,nonEmpty_scientificName
135,1,329,out,@out,accepted_record_count
136,1,330,out,@out,name_val_log
137,1,330,uri,@uri,file:name_val_log.txt
138,1,331,log,@log,{timestamp} {final_result} record {RecordID}
139,1,336,end,@end,log_accepted_record
140,1,341,begin,@begin,write_output1_data
141,1,342,in,@in,original_others
142,1,342,as,@as,others
143,1,343,in,@in,original_scientificName
144,1,343,as,@as,empty_scientificName
145,1,344,in,@in,original_scientificName
146,1,344,as,@as,nonEmpty_scientificName
147,1,345,in,@in,original_authorship
148,1,345,as,@as,authorship
149,1,346,in,@in,updated_scientificName
150,1,347,in,@in,updated_authorship
151,1,348,out,@out,output1_data
152,1,348,uri,@uri,file:demo_output_name_val.csv
153,1,353,end,@end,write_output1_data
154,1,357,begin,@begin,log_summary
155,1,358,in,@in,accepted_record_count
156,1,359,in,@in,rejected_record_count
157,1,360,out,@out,name_val_log
158,1,360,uri,@uri,file:name_val_log.txt
159,1,361,log,@log,{timestamp} Wrote {accepted_record_count} ACCEPTED records to {output1_data_file_name}
160,1,362,log,@log,{timestamp} Wrote {rejected_record_count} UNABLE-to-determine-validity records to {output1_data_file_name}
161,1,369,end,@end,log_summary
162,1,373,end,@end,validate_scientificName_field_of_data
163,1,377,begin,@begin,validate_eventDate_field_of_data
164,1,378,in,@in,output1_data
165,1,378,uri,@uri,file:demo_output_name_val.csv
166,1,379,param,@param,record_id_data
167,1,379,uri,@uri,file:record_id.txt
168,1,380,out,@out,output2_data
169,1,380,uri,@uri,file:demo_output_name_date_val.csv
170,1,381,out,@out,date_val_log
171,1,381,uri,@uri,file:date_val_log.txt
172,1,398,begin,@begin,initialize_run
173,1,399,out,@out,date_val_log
174,1,399,uri,@uri,file:date_val_log.txt
175,1,400,log,@log,{timestamp} Reading input records from {input2_data_file_name}
176,1,406,end,@end,initialize_run
177,1,410,begin,@begin,read_input2_data_records
178,1,411,in,@in,input2_data
179,1,411,uri,@uri,file:demo_output_name_val.csv
180,1,412,in,@in,record_id_data
181,1,412,uri,@uri,file:record_id.txt
182,1,413,out,@out,original2_eventDate
183,1,413,as,@as,eventDate
184,1,414,out,@out,RecordID
185,1,415,out,@out,original2_others
186,1,415,as,@as,others
187,1,416,out,@out,date_val_log
188,1,416,uri,@uri,file:date_val_log.txt
189,1,417,log,@log,{timestamp} Reading input record {RecordID}
190,1,447,end,@end,read_input2_data_records
191,1,451,begin,@begin,check_empty_value
192,1,452,in,@in,original2_eventDate
193,1,452,as,@as,eventDate
194,1,453,out,@out,check_result
195,1,454,out,@out,original2_eventDate
196,1,454,as,@as,empty_eventDate
197,1,455,out,@out,original2_eventDate
198,1,455,as,@as,nonEmpty_eventDate
199,1,456,out,@out,date_val_log
200,1,456,uri,@uri,file:date_val_log.txt
201,1,457,log,@log,{timestamp} Trying {check_type} {source_used} {match_method} match for validating {field_name}: {field_name_value}
202,1,458,log,@log,{timestamp} Checking if {field_name} value is Empty: {check_result}
203,1,475,end,@end,check_empty_value
204,1,479,begin,@begin,log_rejected_record
205,1,480,param,@param,RecordID
206,1,481,in,@in,original2_eventDate
207,1,481,as,@as,empty_eventDate
208,1,482,in,@in,check_result
209,1,483,out,@out,final_result
210,1,484,out,@out,rejected2_record_count
211,1,484,as,@as,rejected_record_count
212,1,485,out,@out,date_val_log
213,1,485,uri,@uri,file:date_val_log.txt
214,1,486,log,@log,{timestamp} {final_result} record {RecordID}
215,1,499,end,@end,log_rejected_record
216,1,505,begin,@begin,check_ISO_compliant
217,1,506,in,@in,original2_eventDate
218,1,506,as,@as,nonEmpty_eventDate
219,1,507,out,@out,match_result
220,1,508,out,@out,original2_eventDate
221,1,508,as,@as,compliant_eventDate
222,1,509,out,@out,original2_eventDate
223,1,509,as,@as,nonCompliant_eventDate
224,1,510,out,@out,date_val_log
225,1,510,uri,@uri,file:date_val_log.txt
226,1,511,log,@log,"{timestamp} {match_method} match was {match_result}, compliant with {source_used}: {match_result}."
227,1,528,end,@end,check_ISO_compliant
228,1,532,begin,@begin,update_eventDate
229,1,533,in,@in,original2_eventDate
230,1,533,as,@as,nonCompliant_eventDate
231,1,534,in,@in,match_result
232,1,535,out,@out,updated2_eventDate
