qualifying_annotation_id,primary_annotation_id
3,2
5,4
7,6
9,8
11,10
14,13
16,15
18,17
20,19
22,21
25,24
26,24
30,29
36,35
38,37
40,39
43,42
45,44
47,46
48,46
52,51
55,54
57,56
59,58
60,58
61,58
66,65
71,70
72,70
76,75
82,81
84,83
86,85
90,89
91,89
92,89
97,96
99,98
102,101
103,101
107,106
109,108
114,113
116,115
123,122
125,124
127,126
128,126
134,133
137,136
138,136
142,141
144,143
146,145
148,147
152,151
158,157
159,157
160,157
165,164
167,166
169,168
171,170
174,173
175,173
179,178
181,180
183,182
186,185
188,187
189,187
193,192
196,195
198,197
200,199
201,199
202,199
207,206
211,210
213,212
214,212
218,217
221,220
223,222
225,224
226,224
230,229
233,232
235,234
236,234
241,240
243,242
246,245
248,247
249,247
253,252
255,254
257,256
259,258
261,260
265,264
267,266
269,268
270,268
271,268
