log_variable_id,variable_name,log_template_id
1,timestamp,1
2,input1_data_file_name,1
3,timestamp,2
4,RecordID,2
5,timestamp,3
6,check_type,3
7,source_used,3
8,match_method,3
9,field_name,3
10,field_name_value,3
11,timestamp,4
12,field_name,4
13,check_result,4
14,timestamp,5
15,final_result,5
16,RecordID,5
17,timestamp,6
18,check_type,6
19,source_used,6
20,match_method,6
21,field_name,6
22,field_name_value,6
23,timestamp,7
24,match_method,7
25,match_result,7
26,source_used,7
27,compliant_result,7
28,timestamp,8
29,final_result,8
30,RecordID,8
31,timestamp,9
32,field_name,9
33,original_value,9
34,updated_value,9
35,timestamp,10
36,final_result,10
37,RecordID,10
38,timestamp,11
39,accepted_record_count,11
40,output1_data_file_name,11
41,timestamp,12
42,rejected_record_count,12
43,output1_data_file_name,12
44,timestamp,13
45,input2_data_file_name,13
46,timestamp,14
47,RecordID,14
48,timestamp,15
49,check_type,15
50,source_used,15
51,match_method,15
52,field_name,15
53,field_name_value,15
54,timestamp,16
55,field_name,16
56,check_result,16
57,timestamp,17
58,final_result,17
59,RecordID,17
60,timestamp,18
61,match_method,18
62,match_result,18
63,source_used,18
64,timestamp,19
65,field_name,19
66,original_value,19
67,updated_value,19
68,timestamp,20
69,final_result,20
70,RecordID,20
71,timestamp,21
72,accepted2_record_count,21
73,output2_data_file_name,21
74,timestamp,22
75,rejected2_record_count,22
76,rejected2_data_file_name,22
