port_id,port_type,port_name,qualified_port_name,port_annotation_id,data_id
1,in,input1_data,clean_name_and_date_workflow<-input1_data,2,1
2,param,local_authority_source,clean_name_and_date_workflow<-local_authority_source,4,2
3,out,name_val_log,clean_name_and_date_workflow->name_val_log,6,3
4,out,output2_data,clean_name_and_date_workflow->output2_data,8,4
5,out,date_val_log,clean_name_and_date_workflow->date_val_log,10,5
6,param,local_authority_source,clean_name_and_date_workflow.validate_scientificName_field_of_data<-local_authority_source,13,6
7,in,input1_data,clean_name_and_date_workflow.validate_scientificName_field_of_data<-input1_data,15,7
8,out,output1_data,clean_name_and_date_workflow.validate_scientificName_field_of_data->output1_data,17,8
9,out,name_val_log,clean_name_and_date_workflow.validate_scientificName_field_of_data->name_val_log,19,9
10,out,record_id_data,clean_name_and_date_workflow.validate_scientificName_field_of_data->record_id_data,21,10
11,out,name_val_log,clean_name_and_date_workflow.validate_scientificName_field_of_data.initialize_run->name_val_log,24,11
12,param,local_authority_source,clean_name_and_date_workflow.validate_scientificName_field_of_data.read_scientificName<-local_authority_source,29,12
13,out,local_authority_source_scientificName_lst,clean_name_and_date_workflow.validate_scientificName_field_of_data.read_scientificName->local_authority_source_scientificName_lst,32,13
14,in,input1_data,clean_name_and_date_workflow.validate_scientificName_field_of_data.read_input1_data_records<-input1_data,35,14
15,out,original_scientificName,clean_name_and_date_workflow.validate_scientificName_field_of_data.read_input1_data_records->original_scientificName,37,15
16,out,original_authorship,clean_name_and_date_workflow.validate_scientificName_field_of_data.read_input1_data_records->original_authorship,39,16
17,out,RecordID,clean_name_and_date_workflow.validate_scientificName_field_of_data.read_input1_data_records->RecordID,41,17
18,out,original_others,clean_name_and_date_workflow.validate_scientificName_field_of_data.read_input1_data_records->original_others,42,18
19,out,record_id_data,clean_name_and_date_workflow.validate_scientificName_field_of_data.read_input1_data_records->record_id_data,44,19
20,out,name_val_log,clean_name_and_date_workflow.validate_scientificName_field_of_data.read_input1_data_records->name_val_log,46,11
21,in,original_scientificName,clean_name_and_date_workflow.validate_scientificName_field_of_data.check_empty_value<-original_scientificName,51,15
22,out,check_result,clean_name_and_date_workflow.validate_scientificName_field_of_data.check_empty_value->check_result,53,20
23,out,original_scientificName,clean_name_and_date_workflow.validate_scientificName_field_of_data.check_empty_value->original_scientificName,54,21
24,out,original_scientificName,clean_name_and_date_workflow.validate_scientificName_field_of_data.check_empty_value->original_scientificName,56,22
25,out,name_val_log,clean_name_and_date_workflow.validate_scientificName_field_of_data.check_empty_value->name_val_log,58,11
26,param,RecordID,clean_name_and_date_workflow.validate_scientificName_field_of_data.log_rejected_record<-RecordID,64,17
27,in,original_scientificName,clean_name_and_date_workflow.validate_scientificName_field_of_data.log_rejected_record<-original_scientificName,65,21
28,in,check_result,clean_name_and_date_workflow.validate_scientificName_field_of_data.log_rejected_record<-check_result,67,20
29,out,final_result,clean_name_and_date_workflow.validate_scientificName_field_of_data.log_rejected_record->final_result,68,23
30,out,rejected_record_count,clean_name_and_date_workflow.validate_scientificName_field_of_data.log_rejected_record->rejected_record_count,69,24
31,out,name_val_log,clean_name_and_date_workflow.validate_scientificName_field_of_data.log_rejected_record->name_val_log,70,11
32,in,original_scientificName,clean_name_and_date_workflow.validate_scientificName_field_of_data.find_matching_local_authority_source_record<-original_scientificName,75,22
33,param,local_authority_source_scientificName_lst,clean_name_and_date_workflow.validate_scientificName_field_of_data.find_matching_local_authority_source_record<-local_authority_source_scientificName_lst,77,13
34,out,match_result,clean_name_and_date_workflow.validate_scientificName_field_of_data.find_matching_local_authority_source_record->match_result,80,25
35,out,matching_local_authority_source_record,clean_name_and_date_workflow.validate_scientificName_field_of_data.find_matching_local_authority_source_record->matching_local_authority_source_record,81,26
36,out,matching_local_authority_source_record,clean_name_and_date_workflow.validate_scientificName_field_of_data.find_matching_local_authority_source_record->matching_local_authority_source_record,83,27
37,out,matching_local_authority_source_record,clean_name_and_date_workflow.validate_scientificName_field_of_data.find_matching_local_authority_source_record->matching_local_authority_source_record,85,28
