port_id,uri
1,file:demo_input.csv
2,file:demo_localDB.csv
3,file:name_val_log.txt
4,file:demo_output_name_date_val.csv
5,file:date_val_log.txt
6,file:demo_localDB.csv
7,file:demo_input.csv
8,file:demo_output_name_val.csv
9,file:name_val_log.txt
10,file:record_id.txt
11,file:name_val_log.txt
12,file:demo_localDB.csv
14,file:demo_input.csv
19,file:record_id.txt
20,file:name_val_log.txt
25,file:name_val_log.txt
31,file:name_val_log.txt
40,file:name_val_log.txt
45,file:name_val_log.txt
56,file:name_val_log.txt
61,file:name_val_log.txt
68,file:demo_output_name_val.csv
71,file:name_val_log.txt
72,file:demo_output_name_val.csv
73,file:record_id.txt
74,file:demo_output_name_date_val.csv
75,file:date_val_log.txt
76,file:date_val_log.txt
77,file:demo_output_name_val.csv
78,file:record_id.txt
82,file:date_val_log.txt
87,file:date_val_log.txt
93,file:date_val_log.txt
98,file:date_val_log.txt
102,file:date_val_log.txt
108,file:date_val_log.txt
113,file:demo_output_name_date_val.csv
116,file:date_val_log.txt
