program_id,program_name,qualified_program_name,begin_annotation_id,end_annotation_id
1,clean_name_and_date_workflow,clean_name_and_date_workflow,1,274
2,validate_scientificName_field_of_data,clean_name_and_date_workflow.validate_scientificName_field_of_data,12,162
3,initialize_run,clean_name_and_date_workflow.validate_scientificName_field_of_data.initialize_run,23,27
4,read_scientificName,clean_name_and_date_workflow.validate_scientificName_field_of_data.read_scientificName,28,33
5,read_input1_data_records,clean_name_and_date_workflow.validate_scientificName_field_of_data.read_input1_data_records,34,49
6,check_empty_value,clean_name_and_date_workflow.validate_scientificName_field_of_data.check_empty_value,50,62
7,log_rejected_record,clean_name_and_date_workflow.validate_scientificName_field_of_data.log_rejected_record,63,73
8,find_matching_local_authority_source_record,clean_name_and_date_workflow.validate_scientificName_field_of_data.find_matching_local_authority_source_record,74,93
9,log_rejected_unmatching_record,clean_name_and_date_workflow.validate_scientificName_field_of_data.log_rejected_unmatching_record,94,104
10,update_scientificName,clean_name_and_date_workflow.validate_scientificName_field_of_data.update_scientificName,105,111
11,update_authorship,clean_name_and_date_workflow.validate_scientificName_field_of_data.update_authorship,112,118
12,log_updated_record,clean_name_and_date_workflow.validate_scientificName_field_of_data.log_updated_record,119,129
13,log_accepted_record,clean_name_and_date_workflow.validate_scientificName_field_of_data.log_accepted_record,130,139
14,write_output1_data,clean_name_and_date_workflow.validate_scientificName_field_of_data.write_output1_data,140,153
15,log_summary,clean_name_and_date_workflow.validate_scientificName_field_of_data.log_summary,154,161
16,validate_eventDate_field_of_data,clean_name_and_date_workflow.validate_eventDate_field_of_data,163,273
17,initialize_run,clean_name_and_date_workflow.validate_eventDate_field_of_data.initialize_run,172,176
18,read_input2_data_records,clean_name_and_date_workflow.validate_eventDate_field_of_data.read_input2_data_records,177,190
19,check_empty_value,clean_name_and_date_workflow.validate_eventDate_field_of_data.check_empty_value,191,203
20,log_rejected_record,clean_name_and_date_workflow.validate_eventDate_field_of_data.log_rejected_record,204,215
21,check_ISO_compliant,clean_name_and_date_workflow.validate_eventDate_field_of_data.check_ISO_compliant,216,227
22,update_eventDate,clean_name_and_date_workflow.validate_eventDate_field_of_data.update_eventDate,228,237
23,log_accepted_record,clean_name_and_date_workflow.validate_eventDate_field_of_data.log_accepted_record,238,250
24,write_output2_data,clean_name_and_date_workflow.validate_eventDate_field_of_data.write_output2_data,251,262
25,log_summary,clean_name_and_date_workflow.validate_eventDate_field_of_data.log_summary,263,272
26,exactmatch,exactmatch,275,280
27,fuzzymatch,fuzzymatch,281,285
28,fieldmatch,fieldmatch,286,291
29,timestamp,timestamp,292,295
