program_id,program_name,qualified_program_name,begin_annotation_id,end_annotation_id
1,'simulate_data_collection','simulate_data_collection',1,104
2,'initialize_run','simulate_data_collection.initialize_run',24,29
3,'load_screening_results','simulate_data_collection.load_screening_results',30,38
4,'calculate_strategy','simulate_data_collection.calculate_strategy',39,49
5,'log_rejected_sample','simulate_data_collection.log_rejected_sample',50,56
6,'collect_data_set','simulate_data_collection.collect_data_set',57,75
7,'transform_images','simulate_data_collection.transform_images',76,92
8,'log_average_image_intensity','simulate_data_collection.log_average_image_intensity',93,103
9,'calculate_strategy','calculate_strategy',105,114
10,'collect_next_image','collect_next_image',115,125
11,'transform_image','transform_image',126,132
